Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
ช้อนขาวใหญ่-ดีดีย์-100-ชิ้น,13236,ช้อนขาวใหญ่ ดีดีย์ 100 ชิ้น,ร้านน้ำมันแม่จ้า(โคราชปาล์ม),,N,,,,,,,24.50,8859085905890,,,N,Y,35.00,,
ช้อนขาวใหญ่-ดีดีย์-100-ชิ้น-1*20,13237,ช้อนขาวใหญ่ ดีดีย์ 100 ชิ้น 1*20,ร้านน้ำมันแม่จ้า(โคราชปาล์ม),,N,,,,,,,490.00,,,,N,Y,610.00,,
ช้อนสั้น-ช้อนซุป-พลาสติก-pp-100คัน,13015,ช้อนสั้น ช้อนซุป พลาสติก PP 100คัน,บรรจุภัณฑ์,,N,,,,,,,20.00,8859278408238,,,N,Y,25.00,,
ช้อนสั้นขาว-aro-100-ชิ้น,12677,ช้อนสั้นขาว aro 100 ชิ้น,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,45.00,,
ช้อนสั้นขาว-aro-500-ชิ้น,12678,ช้อนสั้นขาว aro 500 ชิ้น,เบ็ดเตล็ด,,N,,,,,,,0.00,8859466400143,,,N,Y,200.00,,
ช้อนไอศกรีม-ช้อนรีน่า-m-คละสี-ตราดอกบัว,13013,ช้อนไอศกรีม ช้อนรีน่า M คละสี ตราดอกบัว,บรรจุภัณฑ์,,N,,,,,,,7.50,8858805231189,,,N,Y,10.00,,
ชอล์กขาว-robin-no.999,11666,ชอล์กขาว Robin no.999,เครื่องเขียน,,N,จำนวน,1 โหล,,,,,0.00,,,,N,Y,270.00,,
ชอล์กขาว-robin-no.999,11665,,,,,,1-11,,,,,0.00,,,,,Y,25.00,,
ชอล์กสี-robin-no.999,11664,ชอล์กสี Robin no.999,เครื่องเขียน,,N,จำนวน,1 โหล,,,,,0.00,,,,N,Y,378.00,,
ชอล์กสี-robin-no.999,11663,,,,,,1-11,,,,,0.00,,,,,Y,35.00,,
ชักเปี๊ยะ,12713,ชักเปี๊ยะ,ของเล่น,,N,,,,,,,0.00,,,,N,Y,7.00,,
ชักเปี๊ยะ-(1-กล่อง-72-ชิ้น),12715,ชักเปี๊ยะ (1 กล่อง 72 ชิ้น),ของเล่น,,N,,,,,,,265.00,,,,N,Y,360.00,,
ชักเปี๊ยะ-(แพ๊ค-6-ชิ้น),12714,ชักเปี๊ยะ (แพ๊ค 6 ชิ้น),ของเล่น,,N,,,,,,,0.00,,,,N,Y,35.00,,
ชามกลม-ไบโอ-epp-500-ml-50-ใบ,13115,ชามกลม ไบโอ EPP 500 ml 50 ใบ,บรรจุภัณฑ์,,N,,,,,,,68.00,,,,N,Y,90.00,,
ชามกลมไบโอ-epp-500ml-(1*50),13102,ชามกลมไบโอ EPP 500ml (1*50),บรรจุภัณฑ์,,N,,,,,,,68.00,8855051183071,,,N,Y,90.00,,
